Order_ID,Region,Segment,Category,Sub_Category,Year,Month,Quantity,Unit_Cost,Unit_Price,Discount,Sales,Profit,Date
1,Centre,Entreprise,Office Supplies,Storage,2025,1,3,218.25,241.63,0.2,724.9,70.15,2025-01-01
2,Nord,Corporate,Office Supplies,Binders,2023,5,2,210.7,231.7,0.2,463.41,42.01,2023-05-01
3,Sud,Entreprise,Furniture,Chairs,2024,7,5,109.2,138.91,0.05,694.57,148.57,2024-07-01
4,Sud,Entreprise,Office Supplies,Binders,2023,9,5,133.25,154.35,0.15,771.73,105.48,2023-09-01
5,Centre,Corporate,Office Supplies,Storage,2022,12,6,442.1,506.04,0.15,3036.21,383.61,2022-12-01
6,Centre,Consommateur,Office Supplies,Binders,2023,5,8,236.42,307.38,0.0,2459.01,567.65,2023-05-01
7,Est,Consommateur,Furniture,Chairs,2022,5,1,61.85,77.71,0.0,77.71,15.86,2022-05-01
8,Nord,Entreprise,Technology,Accessories,2023,6,8,141.85,154.46,0.2,1235.66,100.86,2023-06-01
9,Sud,Corporate,Office Supplies,Paper,2025,5,4,362.66,457.89,0.05,1831.55,380.91,2025-05-01
10,Centre,Corporate,Technology,Phones,2022,1,1,276.34,337.9,0.1,337.9,61.56,2022-01-01
11,Sud,Consommateur,Furniture,Chairs,2024,7,2,333.64,381.68,0.15,763.36,96.08,2024-07-01
12,Nord,Consommateur,Furniture,Bookcases,2022,1,8,156.1,180.52,0.15,1444.15,195.35,2022-01-01
13,Nord,Corporate,Technology,Accessories,2025,2,1,258.39,312.55,0.1,312.55,54.16,2025-02-01
14,Sud,Entreprise,Office Supplies,Paper,2022,4,4,38.51,35.62,0.2,142.49,-11.55,2022-04-01
15,Nord,Consommateur,Furniture,Bookcases,2022,4,9,442.45,543.85,0.05,4894.61,912.56,2022-04-01
16,Est,Entreprise,Technology,Copiers,2024,4,9,474.47,586.68,0.05,5280.16,1009.93,2024-04-01
17,Nord,Entreprise,Technology,Copiers,2025,4,5,417.66,518.53,0.05,2592.63,504.33,2025-04-01
18,Sud,Corporate,Technology,Accessories,2022,2,5,182.78,220.01,0.1,1100.06,186.16,2022-02-01
19,Est,Corporate,Furniture,Bookcases,2024,9,9,463.12,506.55,0.2,4558.97,390.89,2024-09-01
20,Centre,Entreprise,Office Supplies,Paper,2022,6,3,109.83,138.51,0.0,415.52,86.03,2022-06-01
21,Sud,Entreprise,Office Supplies,Binders,2024,3,4,491.4,631.14,0.0,2524.57,558.97,2024-03-01
22,Est,Entreprise,Technology,Accessories,2024,7,2,105.72,112.43,0.15,224.85,13.41,2024-07-01
23,Nord,Entreprise,Technology,Accessories,2022,11,2,463.95,500.18,0.2,1000.36,72.46,2022-11-01
24,Sud,Entreprise,Office Supplies,Storage,2022,12,6,442.93,578.72,0.0,3472.33,814.75,2022-12-01
25,Centre,Corporate,Technology,Phones,2023,12,9,70.33,89.53,0.0,805.74,172.77,2023-12-01
26,Sud,Entreprise,Technology,Phones,2024,7,2,51.75,64.41,0.1,128.82,25.32,2024-07-01
27,Est,Consommateur,Furniture,Tables,2024,8,6,441.11,483.25,0.2,2899.53,252.87,2024-08-01
28,Nord,Entreprise,Technology,Accessories,2024,9,2,257.32,310.94,0.1,621.89,107.25,2024-09-01
